step,num_vehicles,avg_waiting_time,queue_length
0,8,0.0,0
1,12,0.0,0
2,12,0.0,0
3,12,0.0,0
4,12,0.08333333333333333,1
5,10,0.3,2
6,10,0.8,5
7,8,1.625,5
8,8,2.375,6
9,17,1.4705882352941178,6
10,18,1.7777777777777777,7
11,18,2.1666666666666665,7
12,18,2.5555555555555554,7
13,18,3.0,8
14,17,3.823529411764706,11
15,15,5.133333333333334,12
16,15,5.933333333333334,12
17,14,7.214285714285714,12
18,21,5.380952380952381,12
19,22,5.7272727272727275,13
20,22,6.318181818181818,13
21,22,6.909090909090909,13
22,22,7.590909090909091,15
23,20,9.15,16
24,20,9.95,16
25,18,11.944444444444445,16
26,18,12.833333333333334,16
27,22,11.227272727272727,16
28,24,11.0,17
29,24,11.708333333333334,17
30,24,12.458333333333334,18
31,23,13.782608695652174,18
32,22,15.227272727272727,18
33,22,16.045454545454547,18
34,20,18.55,18
35,20,19.45,18
36,23,17.695652173913043,18
37,24,17.708333333333332,18
38,24,18.458333333333332,18
39,24,19.208333333333332,18
40,23,20.82608695652174,18
41,22,22.59090909090909,18
42,22,23.40909090909091,18
43,19,28.05263157894737,18
44,19,29.0,18
45,22,15.545454545454545,12
46,22,7.2727272727272725,6
47,24,0.0,0
48,24,0.041666666666666664,1
49,28,0.21428571428571427,5
50,29,0.4482758620689655,7
51,27,0.8148148148148148,9
52,27,1.2222222222222223,11
53,25,1.84,13
54,30,1.9666666666666666,13
55,29,2.4827586206896552,13
56,29,2.9310344827586206,13
57,28,3.5357142857142856,14
58,27,4.2592592592592595,16
59,27,4.481481481481482,16
60,25,5.12,15
61,24,5.041666666666667,13
62,22,5.5,12
63,26,4.615384615384615,11
64,26,4.576923076923077,10
65,26,5.0,11
66,24,5.958333333333333,13
67,23,6.826086956521739,14
68,23,7.478260869565218,15
69,23,7.869565217391305,14
70,22,8.727272727272727,14
71,21,9.666666666666666,13
72,22,9.727272727272727,12
73,24,9.416666666666666,12
74,22,10.818181818181818,12
75,24,10.416666666666666,12
76,22,11.954545454545455,13
77,23,12.0,13
78,23,12.434782608695652,12
79,22,13.545454545454545,12
80,20,15.5,12
81,22,14.636363636363637,12
82,23,14.521739130434783,12
83,23,15.043478260869565,12
84,24,14.916666666666666,12
85,22,16.863636363636363,13
86,22,17.5,14
87,23,17.130434782608695,12
88,23,17.652173913043477,12
89,20,20.9,12
90,21,9.476190476190476,8
91,23,0.2608695652173913,4
92,23,0.43478260869565216,4
93,28,0.6071428571428571,7
94,28,0.9642857142857143,10
95,30,1.2666666666666666,12
96,28,1.8571428571428572,14
97,27,2.4814814814814814,15
98,27,3.074074074074074,16
99,32,3.09375,16
100,31,3.7419354838709675,17
101,32,4.15625,17
102,31,4.870967741935484,18
103,29,5.862068965517241,19
104,29,6.551724137931035,20
105,27,7.777777777777778,20
106,26,8.384615384615385,19
107,27,7.777777777777778,17
108,29,6.931034482758621,15
109,30,6.7,14
110,30,7.166666666666667,14
111,29,7.931034482758621,15
112,29,8.517241379310345,17
113,27,9.74074074074074,17
114,24,11.583333333333334,17
115,24,12.208333333333334,16
116,23,13.434782608695652,16
117,27,12.037037037037036,16
118,29,11.793103448275861,17
119,29,12.379310344827585,17
120,27,13.962962962962964,18
121,28,14.142857142857142,19
122,28,14.821428571428571,20
123,27,16.0,19
124,26,17.307692307692307,19
125,26,17.96153846153846,18
126,27,17.962962962962962,18
127,28,17.964285714285715,18
128,28,18.607142857142858,18
129,28,19.25,18
130,26,21.46153846153846,19
131,28,20.535714285714285,18
132,26,22.807692307692307,18
133,25,24.44,18
134,25,25.2,19
135,26,15.807692307692308,14
136,25,8.08,9
137,26,0.4230769230769231,5
138,26,0.6538461538461539,6
139,31,0.7419354838709677,6
140,31,1.032258064516129,9
141,27,1.5555555555555556,10
142,28,1.9642857142857142,13
143,27,2.5925925925925926,15
144,30,2.8333333333333335,15
145,30,3.3333333333333335,15
146,30,3.8333333333333335,15
147,28,4.642857142857143,15
148,26,5.615384615384615,16
149,28,5.821428571428571,17
150,25,6.68,16
151,25,6.28,14
152,23,6.434782608695652,12
153,28,5.285714285714286,11
154,28,5.25,10
155,26,6.038461538461538,10
156,26,6.5,12
157,25,7.24,13
158,24,8.0,12
159,22,9.272727272727273,12
160,20,10.8,12
161,20,11.4,12
162,22,10.909090909090908,12
163,23,10.956521739130435,12
164,23,11.521739130434783,13
165,23,12.08695652173913,13
166,23,12.73913043478261,15
167,23,13.130434782608695,13
168,22,14.227272727272727,13
169,21,15.476190476190476,13
170,20,16.8,12
171,22,15.818181818181818,12
172,23,15.652173913043478,12
173,23,16.17391304347826,12
174,22,17.454545454545453,12
175,22,18.09090909090909,14
176,23,17.73913043478261,12
177,22,19.09090909090909,12
178,20,21.65,13
179,19,23.473684210526315,13
180,21,10.476190476190476,8
181,22,0.36363636363636365,4
182,24,0.625,7
183,28,0.8214285714285714,8
184,28,1.25,12
185,28,1.6785714285714286,13
186,28,2.2142857142857144,15
187,29,2.689655172413793,16
188,27,3.4814814814814814,16
189,32,3.3125,15
190,33,3.6666666666666665,15
191,30,4.533333333333333,15
192,31,4.935483870967742,17
193,29,5.862068965517241,17
194,30,6.266666666666667,18
195,29,7.137931034482759,19
196,29,7.310344827586207,18
197,27,8.074074074074074,18
198,32,7.0,17
199,31,7.838709677419355,19
200,31,8.451612903225806,19
201,29,9.724137931034482,20
202,28,10.0,19
203,26,10.73076923076923,18
204,25,11.12,17
205,24,12.291666666666666,17
206,25,12.48,17
207,28,11.75,17
208,28,12.357142857142858,17
209,29,12.586206896551724,19
210,28,13.821428571428571,22
211,28,14.392857142857142,20
212,26,16.076923076923077,18
213,26,16.76923076923077,18
214,26,17.46153846153846,18
215,25,18.88,18
216,27,18.14814814814815,18
217,28,18.142857142857142,18
218,28,18.785714285714285,18
219,28,19.5,20
220,28,20.142857142857142,19
221,27,21.48148148148148,18
222,26,23.0,18
223,24,25.708333333333332,19
224,24,26.583333333333332,21
225,26,16.115384615384617,15
226,25,8.4,10
227,26,0.6153846153846154,5
228,27,0.7777777777777778,5
229,29,1.0,8
230,30,1.2666666666666666,9
231,28,1.75,11
232,29,2.1379310344827585,13
233,28,2.7142857142857144,14
234,31,2.935483870967742,15
235,29,3.6551724137931036,15
236,30,4.033333333333333,15
237,29,4.689655172413793,15
238,28,5.464285714285714,17
239,26,6.538461538461538,17
240,25,6.92,16
241,22,7.409090909090909,14
242,21,7.285714285714286,12
243,24,6.0,10
244,26,5.923076923076923,10
245,25,6.6,11
246,24,7.375,12
247,23,8.347826086956522,15
248,23,9.0,15
249,23,9.391304347826088,15
250,21,10.714285714285714,14
251,21,11.19047619047619,13
252,22,11.181818181818182,12
253,23,11.217391304347826,12
254,23,11.73913043478261,12
255,24,11.75,12
256,23,12.826086956521738,13
257,22,14.045454545454545,14
258,23,13.869565217391305,13
259,21,15.714285714285714,12
260,20,17.1,12
261,22,16.09090909090909,12
262,24,15.25,12
263,23,16.434782608695652,12
264,24,16.25,12
265,23,17.47826086956522,12
266,23,18.08695652173913,14
267,23,18.565217391304348,13
268,22,19.90909090909091,12
269,20,22.5,12
270,21,10.380952380952381,6
271,23,0.08695652173913043,2
272,23,0.2608695652173913,4
273,27,0.4074074074074074,5
274,28,0.75,10
275,31,1.1290322580645162,14
276,28,1.7857142857142858,15
277,28,2.357142857142857,16
278,27,3.074074074074074,17
279,31,3.161290322580645,16
280,30,3.8333333333333335,17
281,32,4.125,17
282,31,4.806451612903226,17
283,30,5.533333333333333,17
284,30,6.166666666666667,19
285,27,7.592592592592593,20
286,28,7.571428571428571,19
287,27,8.074074074074074,18
288,29,7.689655172413793,17
289,31,7.741935483870968,17
290,30,8.566666666666666,17
291,29,9.448275862068966,17
292,27,10.037037037037036,17
293,26,10.346153846153847,17
294,24,11.083333333333334,16
295,24,11.75,16
296,25,11.92,16
297,28,11.214285714285714,16
298,28,11.821428571428571,17
299,27,12.88888888888889,17
300,28,13.107142857142858,19
301,28,13.75,19
302,26,15.461538461538462,18
303,26,16.153846153846153,18
304,26,16.846153846153847,18
305,26,17.53846153846154,18
306,28,16.928571428571427,18
307,28,17.571428571428573,18
308,27,18.925925925925927,19
309,27,19.62962962962963,19
310,28,19.535714285714285,19
311,26,21.76923076923077,20
312,26,22.384615384615383,18
313,25,24.0,18
314,24,25.791666666666668,19
315,26,15.5,15
316,24,8.291666666666666,10
317,26,0.46153846153846156,4
318,28,0.6428571428571429,6
319,31,0.8064516129032258,7
320,31,1.1290322580645162,10
321,30,1.6,13
322,28,2.1785714285714284,13
323,27,2.814814814814815,15
324,29,3.1379310344827585,15
325,29,3.6551724137931036,15
326,29,4.172413793103448,15
327,28,4.857142857142857,15
328,27,5.62962962962963,16
329,28,6.035714285714286,17
330,25,7.44,17
331,25,7.0,15
332,21,7.857142857142857,13
333,27,5.703703703703703,11
334,27,5.666666666666667,10
335,26,6.3076923076923075,11
336,24,7.333333333333333,12
337,23,8.26086956521739,14
338,23,8.73913043478261,14
339,20,10.55,12
340,19,11.736842105263158,12
341,20,11.75,12
342,22,11.227272727272727,12
343,23,11.26086956521739,12
344,24,11.291666666666666,12
345,23,12.304347826086957,12
346,22,13.5,14
347,23,13.347826086956522,12
348,23,13.869565217391305,12
349,21,15.761904761904763,12
350,20,17.15,12
351,22,16.136363636363637,12
352,23,15.956521739130435,12
353,24,15.833333333333334,13
354,22,17.772727272727273,12
355,22,18.363636363636363,13
356,23,18.08695652173913,13
357,21,20.333333333333332,12
358,21,20.904761904761905,12
359,19,23.789473684210527,13
360,21,10.714285714285714,8
361,22,0.3181818181818182,4
362,23,0.5217391304347826,5
363,27,0.7407407407407407,8
364,28,1.0357142857142858,9
365,31,1.2580645161290323,10
366,28,1.8214285714285714,12
367,27,2.4074074074074074,14
368,27,3.0,16
369,32,3.03125,16
370,30,3.8,17
371,31,4.225806451612903,17
372,31,4.774193548387097,17
373,29,5.758620689655173,19
374,29,6.448275862068965,20
375,29,7.137931034482759,20
376,28,7.607142857142857,19
377,26,7.884615384615385,17
378,29,6.724137931034483,15
379,28,7.0,14
380,29,7.241379310344827,14
381,30,7.6,18
382,30,8.233333333333333,19
383,27,9.777777777777779,19
384,26,10.692307692307692,18
385,25,11.68,17
386,24,12.75,16
387,29,11.10344827586207,16
388,30,11.3,17
389,29,12.310344827586206,18
390,28,13.392857142857142,18
391,28,14.107142857142858,20
392,26,15.807692307692308,18
393,27,15.88888888888889,18
394,25,17.88,18
395,25,18.6,18
396,28,17.25,18
397,29,17.275862068965516,18
398,29,17.896551724137932,18
399,27,19.88888888888889,18
400,27,20.555555555555557,18
401,28,20.5,19
402,27,21.925925925925927,19
403,26,23.46153846153846,19
404,25,25.2,20
405,28,14.714285714285714,14
406,27,7.62962962962963,10
407,28,0.5,5
408,28,0.75,7
409,31,1.0,10
410,32,1.28125,11
411,29,1.8275862068965518,12
412,29,2.3448275862068964,15
413,30,2.7666666666666666,15
414,32,3.09375,16
415,31,3.7096774193548385,16
416,30,4.366666666666666,16
417,30,4.933333333333334,17
418,29,5.724137931034483,18
419,30,6.133333333333334,18
420,28,7.214285714285714,18
421,26,7.384615384615385,16
422,23,7.956521739130435,14
423,27,6.407407407407407,12
424,27,6.444444444444445,11
425,26,7.115384615384615,11
426,24,8.208333333333334,12
427,24,8.791666666666666,14
428,23,9.608695652173912,13
429,22,10.545454545454545,12
430,19,12.842105263157896,12
431,20,12.8,12
432,22,12.181818181818182,12
433,23,12.173913043478262,12
434,24,12.166666666666666,12
435,22,13.863636363636363,13
436,23,13.869565217391305,14
437,23,14.347826086956522,14
438,22,15.5,13
439,21,16.761904761904763,12
440,20,18.2,12
441,22,17.09090909090909,12
442,23,16.869565217391305,12
443,23,17.391304347826086,12
444,22,18.727272727272727,12
445,22,19.363636363636363,14
446,23,18.956521739130434,12
447,21,21.333333333333332,12
448,19,24.210526315789473,12
449,19,24.94736842105263,14
450,21,10.952380952380953,8
451,21,0.38095238095238093,4
452,24,0.5,4
453,27,0.7777777777777778,9
454,28,1.0357142857142858,9
455,29,1.2758620689655173,9
456,28,1.7142857142857142,11
457,29,2.1379310344827585,14
458,28,2.7857142857142856,16
459,32,2.9375,16
460,32,3.46875,17
461,31,4.129032258064516,17
462,32,4.5625,18
463,31,5.290322580645161,18
464,29,6.344827586206897,20
465,29,7.0344827586206895,20
466,29,7.724137931034483,20
467,29,7.896551724137931,19
468,31,7.032258064516129,17
469,30,6.933333333333334,15
470,28,7.5,14
471,30,7.5,15
472,29,8.310344827586206,16
473,28,9.214285714285714,17
474,26,10.653846153846153,19
475,26,11.307692307692308,18
476,24,12.833333333333334,18
477,28,11.5,17
478,27,12.481481481481481,17
479,28,12.678571428571429,18
480,27,13.814814814814815,18
481,29,13.551724137931034,20
482,28,14.714285714285714,20
483,27,15.851851851851851,19
484,26,17.115384615384617,18
485,25,18.52,18
486,27,17.814814814814813,18
487,28,17.821428571428573,18
488,29,17.82758620689655,18
489,27,19.85185185185185,19
490,28,19.785714285714285,19
491,27,21.22222222222222,19
492,27,21.814814814814813,18
493,26,23.384615384615383,19
494,25,25.12,20
495,27,15.25925925925926,15
496,25,8.28,10
497,27,0.5185185185185185,4
498,27,0.7407407407407407,6
499,31,0.8387096774193549,6
500,31,1.096774193548387,8
501,26,1.6923076923076923,10
502,29,1.9655172413793103,13
503,27,2.5925925925925926,13
504,31,2.7419354838709675,15
505,29,3.4482758620689653,15
506,29,3.9655172413793105,15
507,28,4.642857142857143,15
508,27,5.444444444444445,17
509,26,6.3076923076923075,17
510,26,6.038461538461538,15
511,23,6.608695652173913,14
512,23,6.260869565217392,11
513,27,5.37037037037037,10
514,28,5.535714285714286,10
515,27,6.111111111111111,10
516,26,6.769230769230769,11
517,24,7.875,13
518,24,8.333333333333334,12
519,21,10.095238095238095,12
520,21,10.666666666666666,12
521,21,11.238095238095237,12
522,22,11.272727272727273,12
523,23,11.304347826086957,12
524,24,11.333333333333334,12
525,22,12.954545454545455,13
526,23,12.956521739130435,13
527,23,13.391304347826088,12
528,21,15.238095238095237,12
529,20,16.6,12
530,20,17.2,12
531,22,16.181818181818183,12
532,23,16.0,12
533,23,16.52173913043478,12
534,22,17.863636363636363,13
535,23,17.565217391304348,12
536,23,18.08695652173913,12
537,21,20.38095238095238,12
538,19,23.210526315789473,13
539,19,23.94736842105263,14
540,20,11.3,9
541,21,0.47619047619047616,4
542,22,0.6818181818181818,5
543,26,0.8461538461538461,7
544,28,1.0714285714285714,8
545,31,1.2903225806451613,10
546,28,1.8214285714285714,11
547,29,2.2413793103448274,14
548,27,3.0,16
549,31,3.129032258064516,16
550,32,3.5625,17
551,32,4.09375,17
552,30,4.933333333333334,17
553,29,5.758620689655173,19
554,28,6.678571428571429,20
555,28,7.392857142857143,20
556,28,7.142857142857143,18
557,26,7.423076923076923,16
558,30,6.2,14
559,30,6.666666666666667,14
560,31,6.903225806451613,14
561,30,7.666666666666667,16
562,28,8.785714285714286,18
563,25,10.44,17
564,25,11.04,16
565,24,12.166666666666666,16
566,26,11.846153846153847,16
567,30,10.8,16
568,28,12.178571428571429,17
569,27,13.296296296296296,18
570,27,14.0,19
571,28,14.142857142857142,19
572,28,14.678571428571429,18
573,26,16.5,18
574,25,17.88,18
575,25,18.6,18
576,28,17.25,18
577,29,17.275862068965516,18
578,28,18.535714285714285,18
579,29,18.517241379310345,18
580,28,19.892857142857142,20
581,27,21.22222222222222,18
582,26,22.76923076923077,19
583,26,23.576923076923077,21
584,26,24.384615384615383,21
585,26,16.0,16
586,25,8.4,10
587,26,0.7307692307692307,4
588,26,0.9615384615384616,6
589,31,1.096774193548387,9
590,31,1.4516129032258065,11
591,29,1.9655172413793103,12
592,28,2.5,13
593,27,3.111111111111111,14
594,30,3.3,15
595,29,3.9310344827586206,15
596,30,4.3,15
597,28,5.142857142857143,15
598,27,5.925925925925926,16
599,26,6.8076923076923075,17
600,25,6.76,15
601,23,6.956521739130435,13
602,22,6.909090909090909,11
603,27,5.666666666666667,10
604,27,6.037037037037037,10
605,25,6.92,10
606,26,7.115384615384615,12
607,24,8.25,13
608,23,9.173913043478262,13
609,23,9.652173913043478,13
610,23,10.130434782608695,12
611,20,12.25,12
612,21,12.238095238095237,12
613,24,11.208333333333334,12
614,24,11.75,13
615,24,12.291666666666666,13
616,22,14.0,13
617,22,14.454545454545455,13
618,22,14.954545454545455,12
619,22,15.5,12
620,21,16.80952380952381,12
621,23,15.869565217391305,12
622,22,17.136363636363637,12
623,24,16.208333333333332,12
624,23,17.47826086956522,13
625,22,18.954545454545453,15
626,22,19.545454545454547,15
627,22,20.0,14
628,21,21.38095238095238,12
629,20,23.1,13
630,21,10.857142857142858,7
631,23,0.21739130434782608,3
632,26,0.34615384615384615,4
633,27,0.6296296296296297,8
634,28,0.8214285714285714,8
635,30,1.1666666666666667,12
636,28,1.75,14
637,28,2.3214285714285716,16
638,27,3.0,16
639,30,3.2333333333333334,16
640,30,3.8,17
641,32,4.125,18
642,31,4.838709677419355,18
643,29,5.793103448275862,18
644,29,6.448275862068965,19
645,28,7.392857142857143,20
646,28,7.642857142857143,19
647,26,7.884615384615385,17
648,29,6.724137931034483,15
649,29,6.724137931034483,14
650,29,7.206896551724138,14
651,31,7.225806451612903,15
652,27,8.925925925925926,17
653,26,9.961538461538462,18
654,25,10.96,18
655,24,12.041666666666666,17
656,24,12.625,16
657,27,11.814814814814815,16
658,28,12.0,17
659,29,12.172413793103448,17
660,28,13.25,18
661,28,13.857142857142858,18
662,26,15.653846153846153,19
663,27,15.703703703703704,18
664,25,17.68,18
665,26,17.692307692307693,18
666,26,18.384615384615383,18
667,28,17.714285714285715,18
668,29,17.75862068965517,19
669,28,19.0,18
670,28,19.642857142857142,18
671,26,21.846153846153847,18
672,27,21.703703703703702,18
673,25,24.16,18
674,25,24.96,20
675,28,14.607142857142858,15
676,27,7.592592592592593,10
677,28,0.5,5
